,k_best,success rate
0,1,53.275
1,2,52.52299999999999
2,3,52.82199999999999
3,4,55.67099999999999
4,5,56.980999999999995
5,6,57.09400000000001
6,7,64.498
7,8,62.601
8,9,62.338999999999984
9,10,62.659000000000006
10,15,63.265
11,20,63.32099999999999
12,30,64.08899999999998
13,40,63.121
14,50,61.88399999999999
15,60,61.878
16,70,60.029999999999994
17,80,58.436
18,90,58.483000000000004
