,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
27,new_death_11_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716417910447761,0.6716417910447761,0.95833035269771,0.95833035269771,1.1955168119551682,1.1955168119551682,1.6853932584269662,1.6853932584269662,30.000000000000032
28,new_death_12_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6611165523996083,0.6611165523996083,0.9473684210526315,0.9473684210526315,1.1727850799082091,1.1727850799082091,1.6666666666666665,1.6666666666666665,30.000000000000032
29,new_death_13_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6498194945848376,0.6498194945848376,0.9374999999999998,0.9374999999999998,1.1538461538461537,1.1538461538461537,1.6265060240963856,1.6265060240963856,30.000000000000032
30,new_death_14_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382978723404255,0.6382978723404255,0.9259259259259258,0.9259259259259258,1.1397058823529411,1.1397058823529411,1.592920353982301,1.592920353982301,30.000000000000032
31,new_death_15_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6244579358196011,0.6244579358196011,0.9152542372881355,0.9152542372881355,1.125,1.125,1.5754639936999912,1.5754639936999912,30.000000000000032
32,new_death_16_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6082949308755762,0.6082949308755762,0.9074754991723188,0.9074754991723188,1.1115187087307412,1.1115187087307412,1.5481493223428706,1.5481493223428706,30.000000000000032
33,new_death_17_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588716271463614,0.588716271463614,0.893854748603352,0.893854748603352,1.1097099621689785,1.1097099621689785,1.5384615384615383,1.5384615384615383,30.000000000000032
34,new_death_18_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.8823529411764706,0.8823529411764706,1.1029411764705883,1.1029411764705883,1.5286624203821655,1.5286624203821655,30.000000000000032
35,new_death_19_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.8670520231213873,0.8670520231213873,1.0975609756097562,1.0975609756097562,1.5228426395939088,1.5228426395939088,30.000000000000032
36,new_death_20_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374592833876222,0.5374592833876222,0.8556028691570459,0.8556028691570459,1.0932232941996978,1.0932232941996978,1.5205037987296053,1.5205037987296053,30.000000000000032
37,new_death_21_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517241379310345,0.517241379310345,0.8390719450041484,0.8390719450041484,1.0896860986547086,1.0896860986547086,1.5254237288135595,1.5254237288135595,30.000000000000032
38,new_death_22_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5005213764337852,0.5005213764337852,0.8272947604666581,0.8272947604666581,1.0843373493975903,1.0843373493975903,1.5247260211937326,1.5247260211937326,30.000000000000032
39,new_death_23_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4806408544726302,0.4806408544726302,0.8109172164290275,0.8109172164290275,1.0799999999999998,1.0799999999999998,1.5319148936170213,1.5319148936170213,30.000000000000032
40,new_death_24_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4568527918781726,0.4568527918781726,0.8,0.8,1.0775905559479366,1.0775905559479366,1.5517241379310345,1.5517241379310345,30.000000000000032
41,new_death_25_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4351535836177474,0.4351535836177474,0.7843137254901962,0.7843137254901962,1.0742705570291777,1.0742705570291777,1.5661460741385405,1.5661460741385405,30.000000000000032
42,new_death_26_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416324294713777,0.416324294713777,0.7692307692307692,0.7692307692307692,1.0714285714285716,1.0714285714285716,1.5789473684210527,1.5789473684210527,30.000000000000032
43,new_death_27_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3958630527817404,0.3958630527817404,0.7586206896551724,0.7586206896551724,1.0714285714285716,1.0714285714285716,1.6,1.6,30.000000000000032
44,new_death_28_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37615330021291693,0.37615330021291693,0.7438016528925621,0.7438016528925621,1.0691003911342893,1.0691003911342893,1.6216216216216215,1.6216216216216215,30.000000000000032
45,new_death_29_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.7317073170731707,0.7317073170731707,1.0619469026548676,1.0619469026548676,1.6373456837883258,1.6373456837883258,30.000000000000032
46,new_death_30_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33768572714993245,0.33768572714993245,0.718562874251497,0.718562874251497,1.0588235294117647,1.0588235294117647,1.6666666666666667,1.6666666666666667,30.000000000000032
47,new_cases_1_day_ago,0.0,0.13422885970531712,0.13422885970531712,0.574712643678161,0.574712643678161,0.8240940614748282,0.8240940614748282,1.040165017266554,1.040165017266554,1.2816583837576778,1.2816583837576778,1.6278963744742931,1.6278963744742931,2.349483895467256,2.349483895467256,30.000000000000032
48,new_cases_2_day_ago,0.0,0.13596199349304938,0.13596199349304938,0.5836575875486382,0.5836575875486382,0.828058807474321,0.828058807474321,1.0364898141929708,1.0364898141929708,1.2616822429906542,1.2616822429906542,1.5831739961759081,1.5831739961759081,2.2533743611070998,2.2533743611070998,30.000000000000032
49,new_cases_3_day_ago,0.0,0.13608528710939913,0.13608528710939913,0.5900880632512695,0.5900880632512695,0.8321846560142878,0.8321846560142878,1.0306890561667632,1.0306890561667632,1.2443533295608757,1.2443533295608757,1.5442622950819669,1.5442622950819669,2.1575042115745546,2.1575042115745546,30.000000000000032
50,new_cases_4_day_ago,0.0,0.136986301369863,0.136986301369863,0.5949008498583569,0.5949008498583569,0.8348543596929702,0.8348543596929702,1.0250569476082005,1.0250569476082005,1.2260720028489733,1.2260720028489733,1.5027829313543601,1.5027829313543601,2.0604906845122937,2.0604906845122937,30.000000000000032
51,new_cases_5_day_ago,0.0,0.1379839221493548,0.1379839221493548,0.6018490543235241,0.6018490543235241,0.8376913938038655,0.8376913938038655,1.0180301200364794,1.0180301200364794,1.2043123442403358,1.2043123442403358,1.461661341853035,1.461661341853035,1.9617607033474744,1.9617607033474744,30.000000000000032
52,new_cases_6_day_ago,0.0,0.13774510768988463,0.13774510768988463,0.6077795786061588,0.6077795786061588,0.8391283663209393,0.8391283663209393,1.011140483383686,1.011140483383686,1.1831356235572947,1.1831356235572947,1.4177693761814745,1.4177693761814745,1.867026928778801,1.867026928778801,30.000000000000032
53,new_cases_7_day_ago,0.0,0.1385688684075781,0.1385688684075781,0.6126975879778581,0.6126975879778581,0.8401491423249515,0.8401491423249515,1.0024881451013687,1.0024881451013687,1.160353316393989,1.160353316393989,1.3741605693094117,1.3741605693094117,1.776230416292257,1.776230416292257,30.000000000000032
54,new_cases_8_day_ago,0.0,0.135838867281603,0.135838867281603,0.6168847572374072,0.6168847572374072,0.8391147536786591,0.8391147536786591,0.9929309457273129,0.9929309457273129,1.1380476858103878,1.1380476858103878,1.330049261083744,1.330049261083744,1.690948129219974,1.690948129219974,30.000000000000032
55,new_cases_9_day_ago,0.0,0.13039430005667557,0.13039430005667557,0.6159292035398231,0.6159292035398231,0.8333333333333334,0.8333333333333334,0.9834045043138329,0.9834045043138329,1.1166410332599117,1.1166410332599117,1.2911746426351771,1.2911746426351771,1.622666401154976,1.622666401154976,30.000000000000032
56,new_cases_10_day_ago,0.0,0.11416431397145357,0.11416431397145357,0.606786809815951,0.606786809815951,0.8265179929029429,0.8265179929029429,0.970752955818295,0.970752955818295,1.0983981693363845,1.0983981693363845,1.2588062243555005,1.2588062243555005,1.5726425057931963,1.5726425057931963,30.000000000000032
57,new_cases_11_day_ago,0.0,0.09677520057440764,0.09677520057440764,0.5988023952095809,0.5988023952095809,0.817786086574267,0.817786086574267,0.9599914190711145,0.9599914190711145,1.0825458608884602,1.0825458608884602,1.233234628113569,1.233234628113569,1.5285893286449586,1.5285893286449586,30.000000000000032
58,new_cases_12_day_ago,0.0,0.07112859309651229,0.07112859309651229,0.590339892665474,0.590339892665474,0.8101932049826135,0.8101932049826135,0.9494098757781472,0.9494098757781472,1.0664745952874153,1.0664745952874153,1.2084440295828247,1.2084440295828247,1.486448226255701,1.486448226255701,30.000000000000032
59,new_cases_13_day_ago,0.0,0.03874421811065647,0.03874421811065647,0.5805361343980913,0.5805361343980913,0.8011401751339866,0.8011401751339866,0.9407665505226481,0.9407665505226481,1.05191069068895,1.05191069068895,1.187399030694669,1.187399030694669,1.4516129032258063,1.4516129032258063,30.000000000000032
60,new_cases_14_day_ago,0.0,0.0,0.0,0.5709181720410509,0.5709181720410509,0.7918280825131133,0.7918280825131133,0.9297912713472485,0.9297912713472485,1.0386290970199177,1.0386290970199177,1.1670480549199085,1.1670480549199085,1.4252385130651732,1.4252385130651732,30.000000000000032
61,new_cases_15_day_ago,0.0,0.0,0.0,0.559254327563249,0.559254327563249,0.7795862589388847,0.7795862589388847,0.9197080291970805,0.9197080291970805,1.0273972602739727,1.0273972602739727,1.1523552214260544,1.1523552214260544,1.400887622524078,1.400887622524078,30.000000000000032
62,new_cases_16_day_ago,0.0,0.0,0.0,0.5434782608695653,0.5434782608695653,0.765661252900232,0.765661252900232,0.9078524861340859,0.9078524861340859,1.0175787429092757,1.0175787429092757,1.1413479539983953,1.1413479539983953,1.3830841430412453,1.3830841430412453,30.000000000000032
63,new_cases_17_day_ago,0.0,0.0,0.0,0.5247813411078718,0.5247813411078718,0.7478988958903895,0.7478988958903895,0.8950208736381223,0.8950208736381223,1.010840800738188,1.010840800738188,1.1380306649202558,1.1380306649202558,1.3775588646063504,1.3775588646063504,30.000000000000032
64,new_cases_18_day_ago,0.0,0.0,0.0,0.5024946543121882,0.5024946543121882,0.7310563458193123,0.7310563458193123,0.8830740674045241,0.8830740674045241,1.005290152068195,1.005290152068195,1.1363030141371033,1.1363030141371033,1.3767853822245444,1.3767853822245444,30.000000000000032
65,new_cases_19_day_ago,0.0,0.0,0.0,0.48208092485549137,0.48208092485549137,0.7131460879507896,0.7131460879507896,0.8715710723192021,0.8715710723192021,0.9983063892874504,0.9983063892874504,1.1354581673306774,1.1354581673306774,1.3792605984118913,1.3792605984118913,30.000000000000032
66,new_cases_20_day_ago,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,0.6964188558992693,0.6964188558992693,0.8590343936702729,0.8590343936702729,0.9923628949528438,0.9923628949528438,1.1341602718059869,1.1341602718059869,1.385837607935894,1.385837607935894,28.830313014827016
67,new_cases_21_day_ago,0.0,0.0,0.0,0.4416243654822335,0.4416243654822335,0.6798866855524078,0.6798866855524078,0.8450704225352113,0.8450704225352113,0.9843132463237299,0.9843132463237299,1.1341144802470113,1.1341144802470113,1.3938946589963372,1.3938946589963372,30.000000000000032
68,new_cases_22_day_ago,0.0,0.0,0.0,0.42201834862385323,0.42201834862385323,0.6616058313024593,0.6616058313024593,0.8307372793354102,0.8307372793354102,0.9758123856093985,0.9758123856093985,1.1354719593814908,1.1354719593814908,1.4049515904788608,1.4049515904788608,30.000000000000032
69,new_cases_23_day_ago,0.0,0.0,0.0,0.398406374501992,0.398406374501992,0.642023346303502,0.642023346303502,0.8168673851097014,0.8168673851097014,0.9689049913312493,0.9689049913312493,1.136972946624421,1.136972946624421,1.4229675787842186,1.4229675787842186,30.000000000000032
70,new_cases_24_day_ago,0.0,0.0,0.0,0.3744252244361726,0.3744252244361726,0.6216373555856074,0.6216373555856074,0.8026973670820811,0.8026973670820811,0.9623091365854362,0.9623091365854362,1.1420118343195267,1.1420118343195267,1.446918721286765,1.446918721286765,30.000000000000032
71,new_cases_25_day_ago,0.0,0.0,0.0,0.35285461435012416,0.35285461435012416,0.6006974942130513,0.6006974942130513,0.7877461706783371,0.7877461706783371,0.9563991113579247,0.9563991113579247,1.146779303062302,1.146779303062302,1.4716066108151766,1.4716066108151766,30.000000000000032
72,new_cases_26_day_ago,0.0,0.0,0.0,0.33161186632124934,0.33161186632124934,0.5817738688006453,0.5817738688006453,0.7739631460060203,0.7739631460060203,0.9506697595786813,0.9506697595786813,1.1491735150619748,1.1491735150619748,1.4968807692404713,1.4968807692404713,30.000000000000004
73,new_cases_27_day_ago,0.0,0.0,0.0,0.3121852970795569,0.3121852970795569,0.5624600553898593,0.5624600553898593,0.7599667774086378,0.7599667774086378,0.9429074799948336,0.9429074799948336,1.1532291044071847,1.1532291044071847,1.5212989543117783,1.5212989543117783,30.000000000000004
74,new_cases_28_day_ago,0.0,0.0,0.0,0.2910662824207493,0.2910662824207493,0.5427383628669664,0.5427383628669664,0.7447916107634678,0.7447916107634678,0.934615933277425,0.934615933277425,1.156518281129383,1.156518281129383,1.5491971627842656,1.5491971627842656,30.000000000000004
75,new_cases_29_day_ago,0.0,0.0,0.0,0.27190332326283995,0.27190332326283995,0.5235602094240838,0.5235602094240838,0.7313803376365442,0.7313803376365442,0.9258780322511315,0.9258780322511315,1.161290322580645,1.161290322580645,1.5702131536884845,1.5702131536884845,30.000000000000004
76,new_cases_30_day_ago,0.0,0.0,0.0,0.25392428439519854,0.25392428439519854,0.5042651996297876,0.5042651996297876,0.7142857142857143,0.7142857142857143,0.9174812981325691,0.9174812981325691,1.1643039739716476,1.1643039739716476,1.5949251888718188,1.5949251888718188,30.000000000000032
77,Cases_STATS_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,4e-06,3.7e-05,3.7e-05,0.000182,0.000182,0.000802,0.000802,0.488395
78,Cases_STATS_max,1e-06,2.9e-05,2.9e-05,7.2e-05,7.2e-05,0.000145,0.000145,0.000295,0.000295,0.000672,0.000672,0.001388,0.001388,0.00436,0.00436,0.861748
79,Cases_STATS_avg,3.33333333333333e-08,6.9e-06,6.9e-06,1.91e-05,1.91e-05,4.656666666666667e-05,4.656666666666667e-05,0.00011556666666666667,0.00011556666666666667,0.00029761666666666665,0.00029761666666666665,0.0006996333333333333,0.0006996333333333333,0.0022435,0.0022435,0.6351696
80,Cases_STATS_std,0.1825741858350553,7.045011270506841,7.045011270506841,16.775358228012923,16.775358228012923,32.10292328277134,32.10292328277134,66.02643148900609,66.02643148900609,132.6955743521973,132.6955743521973,276.858370780557,276.858370780557,796.4122531261785,796.4122531261785,108724.64753000643
81,Cases_STATS_var,0.0333333333333333,49.632183908045974,49.632183908045974,281.4126436781609,281.4126436781609,1030.5977011494251,1030.5977011494251,4359.489655172414,4359.489655172414,17608.11551724138,17608.11551724138,76650.55747126437,76650.55747126437,634272.4787356323,634272.4787356323,11821048980.524136
82,Cases_STATS_percentile_25,0.0,0.0,0.0,3e-06,3e-06,1.575e-05,1.575e-05,5.3e-05,5.3e-05,0.00016825,0.00016825,0.00047475,0.00047475,0.001501,0.001501,0.5574425
83,Cases_STATS_percentile_50,0.0,1e-06,1e-06,1.1e-05,1.1e-05,3.6e-05,3.6e-05,9.8e-05,9.8e-05,0.0002735,0.0002735,0.0006605,0.0006605,0.00210325,0.00210325,0.6449025
84,Cases_STATS_percentile_75,0.0,7e-06,7e-06,2.3e-05,2.3e-05,6e-05,6e-05,0.00014625,0.00014625,0.00037675,0.00037675,0.000859,0.000859,0.002720625,0.002720625,0.7178055
85,Cases_STATS_entropy,0.0,2.442644178310632,2.442644178310632,2.921106373827888,2.921106373827888,3.1283831351400706,3.1283831351400706,3.230021013776001,3.230021013776001,3.2929773328687704,3.2929773328687704,3.336787721122545,3.336787721122545,3.372596644905109,3.372596644905109,3.4007281375470377
86,Death_STATS_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1.3e-05,1.3e-05,0.007098
87,Death_STATS_max,1e-06,1e-06,1e-06,2e-06,2e-06,4e-06,4e-06,7e-06,7e-06,1.4e-05,1.4e-05,3.1e-05,3.1e-05,0.0001225,0.0001225,0.015512
88,Death_STATS_avg,3.33333333333333e-08,1.0000000000000001e-07,1.0000000000000001e-07,2.666666666666666e-07,2.666666666666666e-07,6.666666666666666e-07,6.666666666666666e-07,1.8333333333333333e-06,1.8333333333333333e-06,4.866666666666666e-06,4.866666666666666e-06,1.2933333333333334e-05,1.2933333333333334e-05,5.5316666666666665e-05,5.5316666666666665e-05,0.011460566666666668
89,Death_STATS_std,0.1825741858350553,0.3051285766293646,0.3051285766293646,0.5683207771559354,0.5683207771559354,0.9965457582448798,0.9965457582448798,1.6595249285580942,1.6595249285580942,3.2000359193386365,3.2000359193386365,6.686751354593718,6.686751354593718,25.319487127627283,25.319487127627283,2893.928956582578
90,Death_STATS_var,0.0333333333333333,0.093103448275862,0.093103448275862,0.3229885057471264,0.3229885057471264,0.9931034482758624,0.9931034482758624,2.7540229885057474,2.7540229885057474,10.240229885057472,10.240229885057472,44.71264367816092,44.71264367816092,641.0764367816092,641.0764367816092,8374824.805747127
91,Death_STATS_percentile_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,2e-06,7e-06,7e-06,3.425e-05,3.425e-05,0.00948625
92,Death_STATS_percentile_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,4e-06,4e-06,1.1e-05,1.1e-05,4.9e-05,4.9e-05,0.0123345
93,Death_STATS_percentile_75,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,2.75e-06,2.75e-06,6e-06,6e-06,1.6e-05,1.6e-05,6.875e-05,6.875e-05,0.013868
94,Death_STATS_entropy,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341005,1.6094379124341005,2.245035274126177,2.245035274126177,2.7508620875858605,2.7508620875858605,3.0939952507527986,3.0939952507527986,3.25027801703976,3.25027801703976,3.3411004645277735,3.3411004645277735,3.400573700786061
95,GDP,0.0,3068.0,3068.0,12510.0,12510.0,20948.0,20948.0,51999.0,51999.0,101048.0,101048.0,336330.0,336330.0,707868.0,707868.0,20807269.0
