,k_best,success rate
0,1,53.318999999999996
1,2,58.032999999999994
2,3,56.624
3,4,56.45400000000001
4,5,55.855999999999995
5,6,55.23299999999999
6,7,55.559000000000005
7,8,55.355
8,9,55.246
9,10,55.11999999999999
10,15,54.82899999999999
11,20,54.73900000000001
12,30,54.668000000000006
13,40,54.653999999999996
14,50,54.71099999999999
15,60,54.141999999999996
16,70,54.282999999999994
17,80,54.239999999999995
18,90,54.07000000000001
