,dataSetName + neis,1,2,3,4,5,6,7,8,9,10,15,20,30,40,50,60,70,80,90
0,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 1,57.01,56.923333333333325,58.03333333333333,58.42666666666667,58.156666666666666,58.60999999999999,59.28333333333333,67.78333333333335,66.2,65.82666666666667,63.51000000000001,62.51333333333333,61.223333333333336,59.11333333333334,59.17666666666667,58.02666666666667,58.24,57.71,57.446666666666665
1,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 2,55.96333333333333,56.23333333333333,56.86333333333334,57.48,57.05666666666667,57.419999999999995,58.25333333333333,67.57666666666667,66.09333333333335,65.66333333333334,63.223333333333336,62.19333333333333,60.81,59.14000000000001,58.79333333333333,58.29666666666666,58.29666666666666,57.839999999999996,58.25
2,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 5,57.46333333333333,58.35666666666666,59.339999999999996,59.68666666666667,59.79,60.04,60.48333333333333,71.09666666666668,69.47,68.64,66.3,64.80666666666666,63.45333333333334,62.163333333333334,61.36666666666667,60.50333333333333,60.69,60.10999999999999,59.903333333333336
3,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 20,57.106666666666676,59.70666666666667,60.49,60.54,61.79333333333333,62.26666666666667,62.11666666666667,72.92666666666666,72.08333333333333,70.61333333333333,67.84666666666668,66.45333333333333,64.96999999999998,64.83333333333333,63.94,62.73,62.626666666666665,62.60666666666666,62.400000000000006
4,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 50,57.76,60.33666666666667,61.053333333333335,61.88666666666666,62.77666666666667,62.73333333333333,63.093333333333334,72.82,71.35333333333334,70.62,68.32333333333334,67.24666666666667,66.21,65.48,64.47666666666666,64.00333333333333,63.41,63.34666666666667,62.839999999999996
5,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 100,58.096666666666664,61.28333333333334,61.50666666666667,62.123333333333335,63.07666666666666,62.85,62.85999999999999,72.25,71.57666666666667,70.32666666666667,68.48333333333333,67.83333333333333,66.02,65.78333333333333,65.36333333333333,64.87,64.52,64.03333333333333,63.74333333333333
6,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 250,58.666666666666664,62.056666666666665,61.95333333333334,62.81,62.199999999999996,63.153333333333336,62.75333333333333,71.14666666666666,70.14,69.66333333333333,68.05333333333334,67.38333333333333,66.20333333333333,66.20333333333333,65.61666666666666,65.07666666666667,64.80666666666667,64.27,64.03666666666668
7,WWC_09_01_2021_no_nulls_AVG_100000_classes.csv 500,59.373333333333335,61.416666666666664,62.26333333333334,62.19333333333333,62.26,62.10999999999999,61.76333333333333,70.39666666666666,69.43,68.74,67.27,66.87,65.89999999999999,66.23,65.58333333333333,64.63,63.99333333333332,64.18666666666665,63.56666666666666
8,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 1,50.656666666666666,48.663333333333334,48.15,48.07666666666666,48.663333333333334,49.156666666666666,49.093333333333334,49.22,51.193333333333335,51.36666666666667,51.07333333333333,51.35666666666666,50.50333333333334,50.29,53.43333333333334,53.61333333333332,53.699999999999996,54.449999999999996,52.15
9,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 2,52.02,50.09666666666667,50.870000000000005,50.56333333333333,51.13,50.93000000000001,50.81,50.89666666666667,52.626666666666665,52.48,52.373333333333335,52.06666666666666,52.04666666666666,51.723333333333336,53.696666666666665,53.77666666666667,53.96,54.19,51.72666666666667
10,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 5,50.57333333333333,48.86333333333334,49.75,48.88333333333333,49.69333333333333,49.95333333333334,49.93333333333334,49.96333333333333,50.89333333333334,51.54333333333333,51.52,51.76,51.24,51.123333333333335,53.52666666666667,53.98333333333333,54.01666666666667,54.00999999999999,50.653333333333336
11,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 20,51.71,51.093333333333334,51.35,51.36666666666667,51.80666666666667,51.82666666666666,51.31,51.626666666666665,52.71666666666667,52.63666666666666,52.55333333333334,52.406666666666666,52.49666666666667,52.21666666666666,54.13333333333333,54.15,54.00333333333333,54.30666666666667,51.79
12,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 50,51.65,52.38333333333333,52.623333333333335,53.086666666666666,53.10666666666666,52.806666666666665,52.70666666666667,52.663333333333334,52.92666666666667,53.19,52.82,53.1,52.61000000000001,52.74666666666667,53.29,53.72666666666667,53.776666666666664,53.81333333333333,52.68333333333334
13,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 100,52.11000000000001,53.44,53.36333333333334,53.37,53.50333333333333,53.21333333333334,53.61333333333334,53.46666666666667,53.47666666666667,53.669999999999995,53.723333333333336,53.73333333333333,53.826666666666675,53.4,53.623333333333335,54.16333333333333,53.57,54.120000000000005,53.31333333333333
14,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 250,52.620000000000005,54.04,53.576666666666675,53.56333333333333,54.04,53.40333333333333,53.53333333333333,54.12,53.913333333333334,53.60666666666666,53.910000000000004,53.53666666666667,52.973333333333336,53.373333333333335,53.78666666666667,53.919999999999995,53.73333333333333,54.00333333333333,53.96333333333333
15,WWC_all_data_clean_09_01_2021_replace_nulls_with_average.csv 500,52.68333333333334,53.78333333333333,53.52333333333333,54.050000000000004,54.056666666666665,53.43,53.876666666666665,54.413333333333334,53.49666666666667,54.0,53.73,54.199999999999996,53.78,54.14666666666667,54.36333333333334,53.63333333333333,53.54,54.01333333333333,53.60666666666666
