,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max
18,new_death_2_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41750136271964833,0.41750136271964833,0.6185567010309279,0.6185567010309279,0.7792207792207791,0.7792207792207791,0.9090909090909091,0.9090909090909091,1.03448275862069,1.03448275862069,1.17644761388386,1.17644761388386,1.3326897423463864,1.3326897423463864,1.5501956050668255,1.5501956050668255,1.86046511627907,1.86046511627907,2.380952380952381,2.380952380952381,3.74375,3.74375,30.000000000000032
19,new_death_3_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109589041095891,0.4109589041095891,0.6182911500716988,0.6182911500716988,0.7792207792207791,0.7792207792207791,0.9070918086860913,0.9070918086860913,1.0305907754962835,1.0305907754962835,1.1553933854003935,1.1553933854003935,1.3043478260869565,1.3043478260869565,1.5069448527371425,1.5069448527371425,1.798703894027635,1.798703894027635,2.272998851609299,2.272998851609299,3.397388927247876,3.397388927247876,30.000000000000032
20,new_death_4_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087592854616201,0.4087592854616201,0.6164732169536319,0.6164732169536319,0.7758620689655172,0.7758620689655172,0.9028727770177838,0.9028727770177838,1.0204081632653061,1.0204081632653061,1.1439920706506375,1.1439920706506375,1.2883435582822085,1.2883435582822085,1.4735639784784635,1.4735639784784635,1.7370889003083247,1.7370889003083247,2.159764397905759,2.159764397905759,3.2142857142857144,3.2142857142857144,30.000000000000032
21,new_death_5_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4051488630040773,0.4051488630040773,0.6153846153846154,0.6153846153846154,0.7692307692307692,0.7692307692307692,0.892733564013841,0.892733564013841,1.006711409395973,1.006711409395973,1.1226562253970584,1.1226562253970584,1.2572260103109927,1.2572260103109927,1.4285714285714286,1.4285714285714286,1.6666666666666667,1.6666666666666667,2.0689655172413794,2.0689655172413794,3.0,3.0,30.000000000000032
22,new_death_6_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6172011307670223,0.6172011307670223,0.7677700921040345,0.7677700921040345,0.88871096877502,0.88871096877502,1.0,1.0,1.1111111111111112,1.1111111111111112,1.2371134020618557,1.2371134020618557,1.3953488372093024,1.3953488372093024,1.6216216216216215,1.6216216216216215,1.9811320754716981,1.9811320754716981,2.781712978766983,2.781712978766983,30.000000000000032
23,new_death_7_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39473684210526316,0.39473684210526316,0.6140350877192983,0.6140350877192983,0.7692307692307692,0.7692307692307692,0.8840486867392697,0.8840486867392697,0.9908475761146339,0.9908475761146339,1.0975609756097562,1.0975609756097562,1.2107160630242944,1.2107160630242944,1.3617792065282908,1.3617792065282908,1.5636098440649198,1.5636098440649198,1.8750000000000002,1.8750000000000002,2.6977858559154,2.6977858559154,30.000000000000032
24,new_death_8_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3907454273614863,0.3907454273614863,0.6150753851691667,0.6150753851691667,0.7692307692307692,0.7692307692307692,0.8823529411764706,0.8823529411764706,0.9836065573770493,0.9836065573770493,1.0832250581064855,1.0832250581064855,1.18912011467328,1.18912011467328,1.3202232298787486,1.3202232298787486,1.5060566506262378,1.5060566506262378,1.8072289156626506,1.8072289156626506,2.553191489361702,2.553191489361702,30.000000000000032
25,new_death_9_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38602012701497096,0.38602012701497096,0.6116133797308503,0.6116133797308503,0.7617962063635964,0.7617962063635964,0.8737864077669903,0.8737864077669903,0.9738355318615823,0.9738355318615823,1.0696614950373986,1.0696614950373986,1.1666479708844353,1.1666479708844353,1.2895069532237673,1.2895069532237673,1.471698113207547,1.471698113207547,1.7513313820250067,1.7513313820250067,2.5,2.5,30.000000000000032
26,new_death_10_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37190082644628103,0.37190082644628103,0.6060606060606061,0.6060606060606061,0.7571075078385251,0.7571075078385251,0.8674698795180723,0.8674698795180723,0.9664154945188318,0.9664154945188318,1.0534925578901682,1.0534925578901682,1.1502632885558743,1.1502632885558743,1.2658227848101264,1.2658227848101264,1.4367231435362209,1.4367231435362209,1.6911764705882353,1.6911764705882353,2.4,2.4,30.000000000000032
27,new_death_11_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614457831325301,0.3614457831325301,0.594059405940594,0.594059405940594,0.75,0.75,0.8599581964765601,0.8599581964765601,0.9548905002465911,0.9548905002465911,1.038799186187287,1.038799186187287,1.128983832227072,1.128983832227072,1.2425828392011318,1.2425828392011318,1.3976037806553692,1.3976037806553692,1.662939776875512,1.662939776875512,2.3284625011588025,2.3284625011588025,30.000000000000032
