,dataSetName,1_k,2_k,3_k,4_k,5_k,6_k,7_k,8_k,9_k,10_k,11_k,12_k,13_k,14_k,15_k,16_k,17_k,18_k,19_k,20_k,21_k,22_k,23_k,24_k,25_k,26_k,27_k,28_k,29_k,30_k,31_k,32_k,33_k,34_k,35_k,36_k,37_k,38_k,39_k,40_k,41_k,42_k,43_k,44_k,45_k,46_k,47_k,48_k,49_k,50_k
0,WWC_09_01_2021_no_nulls,48.513999999999996,48.51499999999999,48.32699999999999,49.096999999999994,48.406,48.75899999999999,48.504,48.49499999999999,49.09400000000001,49.167,48.88100000000001,49.445,48.867000000000004,49.522,49.144000000000005,49.301,49.49499999999999,49.229,49.618,49.339999999999996,49.14,49.28,49.1,49.295,49.554,49.07899999999999,49.631,49.95100000000001,49.789,50.038000000000004,49.78699999999999,49.724000000000004,50.236000000000004,49.764,49.859,49.94,50.404999999999994,50.126000000000005,49.98799999999999,50.364999999999995,50.323,50.612,50.496,50.336,50.383,50.818,50.801,51.159,50.757,50.831
1,WWC_09_01_2021_no_nulls_4_classes,48.142,48.555,46.57899999999999,47.388,46.797,47.648999999999994,47.04,47.677,48.14300000000001,48.864999999999995,48.8,49.716,49.13100000000001,49.507,48.906,48.767999999999994,48.832,48.848,49.51800000000001,49.497,49.849000000000004,49.928000000000004,50.507999999999996,50.515,50.788,50.458999999999996,50.185,50.102,50.136,49.90599999999999,50.216,50.053000000000004,50.775,50.645,50.815,50.998999999999995,50.982,51.137,50.79,50.90400000000001,50.474000000000004,50.702,51.034,50.760999999999996,50.754000000000005,51.056999999999995,50.848,51.18300000000001,50.446,51.176
2,WWC_09_01_2021_no_nulls_8_classes,51.43800000000001,51.49300000000001,51.337,51.525999999999996,51.395,51.60600000000001,51.926,51.614999999999995,51.556999999999995,51.688,51.88099999999999,51.613000000000014,51.28499999999999,52.0,51.876,51.333000000000006,51.088,51.25300000000001,51.196,51.641,51.422000000000004,51.32399999999999,51.141000000000005,51.44199999999999,51.375,51.29100000000001,51.419000000000004,51.315,51.422000000000004,51.364999999999995,51.73700000000001,50.858000000000004,51.26500000000001,51.443000000000005,51.55499999999999,51.18499999999999,51.44500000000001,51.548,51.169,51.32700000000001,51.021,51.27699999999999,51.24100000000001,51.739,51.54600000000001,51.738,51.355000000000004,50.915000000000006,51.038,50.924
3,WWC_09_01_2021_no_nulls_16_classes,52.92800000000001,53.105000000000004,53.86900000000001,54.275999999999996,54.415,54.565,54.69200000000001,54.739,54.876,54.101,54.734,54.340999999999994,54.053,53.964999999999996,53.749,54.251999999999995,54.315,53.835,54.093,53.791,53.150999999999996,53.635000000000005,54.05500000000001,53.589,53.50699999999999,53.041,53.108000000000004,53.215999999999994,53.198,53.137,53.126,53.213,53.032999999999994,52.684000000000005,52.862,52.967,52.74499999999999,53.06099999999999,52.58900000000001,52.541999999999994,52.96600000000001,52.50600000000001,52.983000000000004,52.702,52.446000000000005,53.004000000000005,52.56999999999998,52.766999999999996,52.462,52.277
