,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
27,new_death_11_day_ago,0.0,0.0,0.0,0.0,0.0,0.594059405940594,0.594059405940594,0.8599581964765601,0.8599581964765601,1.038799186187287,1.038799186187287,1.2425828392011318,1.2425828392011318,1.662939776875512,1.662939776875512,30.000000000000032
28,new_death_12_day_ago,0.0,0.0,0.0,0.0,0.0,0.5813953488372093,0.5813953488372093,0.8490566037735849,0.8490566037735849,1.0231016336402137,1.0231016336402137,1.2121212121212122,1.2121212121212122,1.619996680860826,1.619996680860826,30.000000000000032
29,new_death_13_day_ago,0.0,0.0,0.0,0.0,0.0,0.567828057796776,0.567828057796776,0.8385093167701863,0.8385093167701863,1.0116236362996691,1.0116236362996691,1.191412550887165,1.191412550887165,1.5826100587419973,1.5826100587419973,30.000000000000032
30,new_death_14_day_ago,0.0,0.0,0.0,0.0,0.0,0.5590062111801242,0.5590062111801242,0.8296296296296296,0.8296296296296296,1.0,1.0,1.1707599803973312,1.1707599803973312,1.5566051694002438,1.5566051694002438,30.000000000000032
31,new_death_15_day_ago,0.0,0.0,0.0,0.0,0.0,0.5454545454545455,0.5454545454545455,0.8159564823209429,0.8159564823209429,0.9928822899127506,0.9928822899127506,1.153846153846154,1.153846153846154,1.5342238274825613,1.5342238274825613,30.000000000000032
32,new_death_16_day_ago,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.5263157894736842,0.8012675418741512,0.8012675418741512,0.9799878800586933,0.9799878800586933,1.1464968152866242,1.1464968152866242,1.5,1.5,30.000000000000032
33,new_death_17_day_ago,0.0,0.0,0.0,0.0,0.0,0.5042016806722689,0.5042016806722689,0.7862903225806451,0.7862903225806451,0.9677419354838709,0.9677419354838709,1.1369677224349606,1.1369677224349606,1.5,1.5,30.000000000000032
34,new_death_18_day_ago,0.0,0.0,0.0,0.0,0.0,0.48387096774193544,0.48387096774193544,0.7692307692307692,0.7692307692307692,0.9571592485114488,0.9571592485114488,1.129278799657789,1.129278799657789,1.5,1.5,30.000000000000032
35,new_death_19_day_ago,0.0,0.0,0.0,0.0,0.0,0.46403721553732724,0.46403721553732724,0.75,0.75,0.9448818897637795,0.9448818897637795,1.124055636757085,1.124055636757085,1.5,1.5,30.000000000000032
36,new_death_20_day_ago,0.0,0.0,0.0,0.0,0.0,0.44204791192743,0.44204791192743,0.7317073170731707,0.7317073170731707,0.937283966318267,0.937283966318267,1.1214953271028036,1.1214953271028036,1.499779795339119,1.499779795339119,30.000000000000032
37,new_death_21_day_ago,0.0,0.0,0.0,0.0,0.0,0.424156741781624,0.424156741781624,0.7149404216315307,0.7149404216315307,0.9265964672892141,0.9265964672892141,1.1180124223602486,1.1180124223602486,1.5,1.5,30.000000000000032
38,new_death_22_day_ago,0.0,0.0,0.0,0.0,0.0,0.4109589041095891,0.4109589041095891,0.6976744186046513,0.6976744186046513,0.9130434782608695,0.9130434782608695,1.1176292753306156,1.1176292753306156,1.5,1.5,30.000000000000032
39,new_death_23_day_ago,0.0,0.0,0.0,0.0,0.0,0.3879632012352033,0.3879632012352033,0.6818181818181819,0.6818181818181819,0.9051595802932199,0.9051595802932199,1.120331950207469,1.120331950207469,1.5,1.5,30.000000000000032
40,new_death_24_day_ago,0.0,0.0,0.0,0.0,0.0,0.362667654473031,0.362667654473031,0.6634615384615385,0.6634615384615385,0.8940397350993378,0.8940397350993378,1.120689655172414,1.120689655172414,1.52083468553255,1.52083468553255,30.000000000000032
41,new_death_25_day_ago,0.0,0.0,0.0,0.0,0.0,0.34220532319391633,0.34220532319391633,0.6463878326996197,0.6463878326996197,0.8823529411764706,0.8823529411764706,1.1219403892366289,1.1219403892366289,1.5384615384615383,1.5384615384615383,30.000000000000032
42,new_death_26_day_ago,0.0,0.0,0.0,0.0,0.0,0.3243243243243243,0.3243243243243243,0.6282722513089005,0.6282722513089005,0.8695652173913044,0.8695652173913044,1.1214953271028036,1.1214953271028036,1.5584415584415583,1.5584415584415583,30.000000000000032
43,new_death_27_day_ago,0.0,0.0,0.0,0.0,0.0,0.30612244897959184,0.30612244897959184,0.6122448979591837,0.6122448979591837,0.8605519579848824,0.8605519579848824,1.1192682795409237,1.1192682795409237,1.5789473684210527,1.5789473684210527,30.000000000000032
44,new_death_28_day_ago,0.0,0.0,0.0,0.0,0.0,0.28790786948176583,0.28790786948176583,0.5988023952095809,0.5988023952095809,0.8548561853527019,0.8548561853527019,1.1214953271028039,1.1214953271028039,1.6071428571428572,1.6071428571428572,30.000000000000032
