,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max
18,new_death_2_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5084745762711865,0.5084745762711865,0.7258064516129032,0.7258064516129032,0.8955223880597015,0.8955223880597015,1.0576923076923077,1.0576923076923077,1.2272209526234656,1.2272209526234656,1.4634146341463414,1.4634146341463414,1.814500900592896,1.814500900592896,2.5,2.5,4.285714285714286,4.285714285714286,30.000000000000032
19,new_death_3_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042016806722689,0.5042016806722689,0.7221006564551423,0.7221006564551423,0.8910891089108911,0.8910891089108911,1.0470041071295926,1.0470041071295926,1.2121349388064373,1.2121349388064373,1.4285714285714286,1.4285714285714286,1.7647058823529411,1.7647058823529411,2.3493975903614457,2.3493975903614457,3.913043478260869,3.913043478260869,30.000000000000032
20,new_death_4_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49921659781678335,0.49921659781678335,0.7171314741035856,0.7171314741035856,0.8828512112041731,0.8828512112041731,1.03448275862069,1.03448275862069,1.1949454151233398,1.1949454151233398,1.397652237710932,1.397652237710932,1.7014160046339786,1.7014160046339786,2.26027397260274,2.26027397260274,3.75,3.75,30.000000000000032
21,new_death_5_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49180327868852464,0.49180327868852464,0.7142857142857143,0.7142857142857143,0.8791208791208791,0.8791208791208791,1.0256410256410258,1.0256410256410258,1.1756068795542236,1.1756068795542236,1.3636363636363638,1.3636363636363638,1.6551724137931036,1.6551724137931036,2.142857142857143,2.142857142857143,3.3799376299376296,3.3799376299376296,30.000000000000032
22,new_death_6_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4887380593262946,0.4887380593262946,0.7100591715976331,0.7100591715976331,0.8737864077669903,0.8737864077669903,1.0139681142493076,1.0139681142493076,1.153846153846154,1.153846153846154,1.3333333333333333,1.3333333333333333,1.5962409386992902,1.5962409386992902,2.0418192350993016,2.0418192350993016,3.298821989528796,3.298821989528796,30.000000000000032
23,new_death_7_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48412129141105076,0.48412129141105076,0.7058823529411765,0.7058823529411765,0.8670520231213873,0.8670520231213873,1.0009822055961621,1.0009822055961621,1.1386861313868615,1.1386861313868615,1.3043478260869565,1.3043478260869565,1.5437392795883362,1.5437392795883362,1.95006678539626,1.95006678539626,3.066195319819217,3.066195319819217,30.000000000000032
24,new_death_8_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.702576112412178,0.702576112412178,0.8606633179034181,0.8606633179034181,0.994843412882309,0.994843412882309,1.1180124223602486,1.1180124223602486,1.2703583061889252,1.2703583061889252,1.5,1.5,1.865050453250615,1.865050453250615,3.0,3.0,30.000000000000032
25,new_death_9_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4683024261374219,0.4683024261374219,0.6976744186046512,0.6976744186046512,0.8550343725123035,0.8550343725123035,0.9830639407641654,0.9830639407641654,1.1029411764705883,1.1029411764705883,1.2425758049390434,1.2425758049390434,1.4457831325301205,1.4457831325301205,1.7857142857142858,1.7857142857142858,2.7974594444396472,2.7974594444396472,30.000000000000032
26,new_death_10_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523181518451988,0.4523181518451988,0.6829300762139314,0.6829300762139314,0.8445678279819467,0.8445678279819467,0.9710564048686731,0.9710564048686731,1.0869565217391306,1.0869565217391306,1.2162162162162162,1.2162162162162162,1.4093959731543624,1.4093959731543624,1.7391304347826089,1.7391304347826089,2.727272727272728,2.727272727272728,30.000000000000032
27,new_death_11_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.4347826086956522,0.6716417910447761,0.6716417910447761,0.8333333333333334,0.8333333333333334,0.95833035269771,0.95833035269771,1.0714285714285716,1.0714285714285716,1.1955168119551682,1.1955168119551682,1.3736113523728695,1.3736113523728695,1.6853932584269662,1.6853932584269662,2.674593352192362,2.674593352192362,30.000000000000032
