,dataSetName,1_k,2_k,3_k,4_k,5_k,6_k,7_k,8_k,9_k,10_k,11_k,12_k,13_k,14_k,15_k,16_k,17_k,18_k,19_k,20_k,21_k,22_k,23_k,24_k,25_k,26_k,27_k,28_k,29_k,30_k,31_k,32_k,33_k,34_k,35_k,36_k,37_k,38_k,39_k,40_k,41_k,42_k,43_k,44_k,45_k,46_k,47_k,48_k,49_k,50_k
0,WWC_09_01_2021_no_nulls_4_classes.csv,48.1,48.86666666666667,46.68333333333334,46.97,46.60999999999999,47.75333333333333,47.330000000000005,47.57,48.583333333333336,48.826666666666675,48.53333333333333,49.419999999999995,48.97,49.81333333333333,49.553333333333335,48.69,49.6,48.54999999999999,48.88999999999999,49.336666666666666,49.52,50.4,50.49,50.77333333333333,50.156666666666666,50.123333333333335,49.919999999999995,50.356666666666676,50.03666666666666,50.453333333333326,50.46666666666667,50.699999999999996,50.35333333333333,50.13666666666666,51.1,50.68,51.050000000000004,51.32666666666666,50.46333333333333,51.196666666666665,50.376666666666665,50.70666666666667,51.23,51.29333333333333,50.81333333333333,51.43333333333334,51.45666666666667,51.26333333333333,50.45666666666667,50.98333333333333
1,WWC_09_01_2021_no_nulls_8_classes.csv,51.81666666666666,51.66,50.82333333333333,51.27333333333333,51.82,51.836666666666666,51.29333333333333,51.19,52.17333333333334,52.03666666666667,51.699999999999996,51.28333333333333,51.25666666666667,51.78333333333333,51.24,50.923333333333325,50.379999999999995,50.18666666666667,50.71666666666667,51.173333333333325,50.84666666666667,51.72,51.07333333333333,51.93,51.36000000000001,51.74333333333334,52.02,51.53333333333333,51.18333333333334,51.050000000000004,50.67333333333334,51.126666666666665,51.04,51.63666666666666,50.94333333333333,51.38333333333333,51.93666666666667,52.10333333333333,50.76333333333333,52.11000000000001,51.39000000000001,50.943333333333335,51.19,51.29333333333333,51.20666666666667,52.163333333333334,51.63333333333333,51.333333333333336,51.21,51.32
2,WWC_09_01_2021_no_nulls_16_classes.csv,53.46,53.123333333333335,54.13666666666666,54.050000000000004,54.31666666666666,53.96666666666667,54.68333333333334,54.20333333333334,54.42666666666667,54.626666666666665,54.93,54.383333333333326,54.26666666666667,54.71333333333333,54.38666666666666,53.333333333333336,54.339999999999996,53.60666666666666,53.67333333333334,53.800000000000004,54.28333333333333,53.92666666666667,53.04,53.89333333333334,53.73,52.98,53.38999999999999,53.02,52.99666666666667,53.03,53.279999999999994,53.43,52.82,52.21333333333333,53.156666666666666,52.23666666666666,53.02,53.080000000000005,52.94666666666666,52.82,52.75333333333333,52.830000000000005,52.39333333333334,52.593333333333334,52.72,52.60333333333333,52.21666666666667,52.446666666666665,52.336666666666666,52.74333333333334
3,WWC_09_01_2021_no_nulls_32_classes.csv,53.52333333333333,53.06333333333333,54.57666666666666,55.57333333333333,56.133333333333326,55.71666666666667,56.13333333333333,56.11000000000001,56.26666666666667,56.45000000000001,55.23666666666667,56.406666666666666,56.68333333333334,56.71,56.173333333333325,56.39333333333334,56.18333333333334,55.60666666666666,56.13,56.16333333333333,56.38333333333333,56.04,56.31666666666666,56.10666666666666,56.64333333333334,55.839999999999996,55.74,55.47666666666667,56.38333333333333,55.19666666666666,56.15,55.04333333333333,55.419999999999995,54.75333333333333,55.54666666666666,55.39666666666667,54.97,55.03666666666667,55.32,54.98,55.28,55.160000000000004,56.23666666666666,55.24666666666666,55.586666666666666,54.946666666666665,54.913333333333334,56.086666666666666,55.18333333333334,55.169999999999995
4,WWC_09_01_2021_no_nulls_64_classes.csv,54.093333333333334,54.97,55.173333333333325,55.623333333333335,55.22,55.169999999999995,55.63999999999999,55.25333333333333,55.07666666666666,55.163333333333334,55.85666666666666,55.449999999999996,56.56666666666666,55.68666666666667,54.99666666666667,55.73,54.98,55.47,56.04666666666666,55.403333333333336,55.93,56.03,55.81,55.74,56.593333333333334,55.78333333333333,55.663333333333334,54.57333333333333,55.336666666666666,56.080000000000005,56.1,55.086666666666666,55.06333333333333,54.836666666666666,55.53,54.78666666666667,54.586666666666666,55.12,55.78666666666666,55.75666666666666,55.583333333333336,54.18333333333334,55.75666666666667,55.22,54.839999999999996,55.330000000000005,54.51,55.45333333333334,54.36666666666667,54.74333333333333
5,WWC_09_01_2021_no_nulls_128_classes.csv,53.85666666666666,53.99333333333333,54.86333333333334,54.74333333333333,55.13666666666666,54.82,55.163333333333334,55.18666666666667,55.06999999999999,55.24666666666666,55.156666666666666,55.42666666666667,55.080000000000005,55.28,54.79666666666666,54.99666666666667,55.56666666666667,55.196666666666665,54.47666666666667,54.416666666666664,55.02,54.51,54.64333333333334,56.07333333333333,55.29666666666666,55.46333333333333,55.453333333333326,55.28,55.50333333333333,54.75,55.370000000000005,55.95666666666667,54.90333333333333,54.87,54.71333333333333,54.77666666666667,54.96666666666667,55.02333333333333,54.903333333333336,54.776666666666664,54.78666666666667,54.52,55.13,54.343333333333334,54.85333333333333,54.870000000000005,54.379999999999995,55.373333333333335,55.589999999999996,55.03
6,WWC_09_01_2021_no_nulls_256_classes.csv,54.96,54.29999999999999,55.60666666666666,56.173333333333325,56.81,56.21333333333333,56.306666666666665,56.72666666666667,56.71,57.10333333333333,57.15,56.449999999999996,57.15,56.63333333333333,56.35999999999999,56.97,56.64333333333334,56.95333333333334,56.626666666666665,56.373333333333335,56.81666666666666,57.17666666666667,56.19,56.46666666666666,56.85,56.64333333333334,56.82333333333332,57.04666666666666,58.04666666666666,56.473333333333336,57.31666666666666,56.44333333333333,56.54,56.349999999999994,56.849999999999994,57.50333333333333,57.75666666666666,56.51666666666667,57.24333333333334,56.51666666666667,57.45333333333334,56.96666666666667,56.796666666666674,56.74,56.6,57.52,56.94333333333333,56.72,56.52333333333333,56.35666666666666
7,WWC_09_01_2021_no_nulls_800_classes.csv,55.46333333333333,55.20333333333334,56.47,56.47333333333333,57.79,57.03333333333333,57.419999999999995,56.97666666666667,57.99666666666666,58.01333333333333,58.053333333333335,57.946666666666665,58.53333333333333,58.223333333333336,58.99333333333334,58.44,58.03,58.45666666666667,58.85333333333333,58.373333333333335,58.29666666666666,59.39333333333334,59.51,58.61333333333334,58.29333333333333,58.69,58.45666666666667,58.173333333333325,58.46666666666667,59.26666666666667,58.85666666666666,58.053333333333335,58.96,58.776666666666664,59.166666666666664,58.60666666666666,58.99,58.96333333333333,59.42666666666667,58.96666666666667,58.99,58.59,59.199999999999996,59.78333333333333,58.27333333333333,59.02666666666667,58.92333333333334,59.06666666666666,58.57333333333333,59.14000000000001
8,WWC_09_01_2021_no_nulls_1000_classes.csv,55.36666666666667,55.77,56.68333333333334,56.48333333333333,57.403333333333336,57.23666666666667,57.60999999999999,57.6,57.830000000000005,57.89666666666667,58.080000000000005,58.77666666666667,58.096666666666664,58.69,59.10333333333333,58.699999999999996,59.0,58.65,58.95666666666667,59.52,58.13999999999999,58.883333333333326,59.80666666666667,59.36000000000001,59.379999999999995,59.083333333333336,59.71,59.47333333333333,59.843333333333334,58.92666666666668,59.53333333333333,58.97333333333333,58.85,57.67333333333334,57.98333333333333,59.04333333333333,59.27666666666667,59.02666666666667,59.24333333333334,59.56666666666667,58.873333333333335,58.67333333333334,60.15333333333333,59.57,59.650000000000006,59.06666666666666,59.01666666666667,59.13333333333333,59.02333333333333,59.60999999999999
9,WWC_09_01_2021_no_nulls_1300_classes.csv,55.71666666666666,56.29333333333333,56.916666666666664,56.88333333333333,56.77,56.43,57.11000000000001,58.07333333333333,58.21333333333334,57.76333333333333,57.93333333333334,58.93333333333334,58.92666666666668,59.68666666666667,58.76666666666667,57.806666666666665,59.093333333333334,58.666666666666664,59.663333333333334,59.85999999999999,58.656666666666666,59.02333333333333,59.29333333333333,59.45333333333334,59.20666666666667,58.94,60.03666666666667,59.160000000000004,59.15,60.17666666666667,59.60999999999999,59.150000000000006,59.85333333333333,59.68333333333334,59.626666666666665,59.79333333333333,60.18666666666667,59.94333333333333,59.919999999999995,59.56,59.97666666666667,59.79333333333333,60.73333333333333,59.416666666666664,59.71,59.55666666666667,59.11666666666667,59.47,59.93666666666667,59.75333333333333
10,WWC_09_01_2021_no_nulls_1600_classes.csv,54.50333333333333,55.47,56.71666666666667,56.88333333333333,57.89333333333334,57.03333333333333,57.84,56.60666666666666,58.656666666666666,58.60333333333333,59.333333333333336,58.406666666666666,58.346666666666664,58.666666666666664,58.866666666666674,59.23333333333333,59.21,58.39000000000001,59.48333333333333,59.28666666666667,58.88333333333333,59.373333333333335,59.38666666666668,58.93333333333334,60.093333333333334,59.23333333333333,59.99,59.660000000000004,60.63666666666668,59.203333333333326,60.45666666666667,59.653333333333336,60.336666666666666,59.92666666666667,59.63666666666666,60.68333333333333,59.98666666666667,60.10333333333333,60.23666666666666,59.21666666666667,59.81,59.836666666666666,60.18666666666667,60.14666666666667,59.73666666666667,59.416666666666664,59.28333333333333,60.053333333333335,59.36333333333334,59.81
